,title,subtitle,link
0,NEWCASTLE 3 BRENTFORD 1,Tonali brace sends Toon closer to first trophy in nearly 70 YEARS,https://www.thesun.co.uk/sport/32389637/newcastle-brentford-sandro-tonali-carabao-cup-fabian-schar/
1,SOUTHAMPTON 1 LIVERPOOL 2,Slot watches on from stands as Reds cling on to reach last four,https://www.thesun.co.uk/sport/32389765/southampton-liverpool-arne-slot/
2,CRYSTAL CLEAR,Fans fume Palace 'robbed' in Arsenal clash with Jesus 'clearly offside',https://www.thesun.co.uk/sport/32390442/crystal-palace-arsenal-gabriel-jesus-offside/
3,ARSENAL RATINGS,Jesus resurrects Gunners career with hat-trick but Sterling fails to shine,https://www.thesun.co.uk/sport/32389549/arsenal-player-ratings-gabriel-jesus-crystal-palace/
4,RED MIST,Footballer sent off after celebrating as he leathers ball into goalie's face,https://www.thesun.co.uk/sport/32387557/peterhead-red-card-forfar-scotland-league-two/
5,TOP TIER,Celtic planning Kieran Tierney return from Arsenal in stunning transfer swoop,https://www.thesun.co.uk/sport/32391618/celtic-kieran-tierney-return-arsenal-transfer/
6,AL IN,Newcastle outcast Almiron offered Premier League lifeline as three clubs circle,https://www.thesun.co.uk/sport/32386646/newcastle-miguel-almiron-crystal-palace-leicester-wolves/
7,BLUE ARE YOU?,My dad's a former Arsenal star - I'm now planning Chelsea's downfall,https://www.thesun.co.uk/sport/32388820/chelsea-confernce-league-shamrock-rovers-markus-poom/
8,GLASS HALF FULL,West Ham star admits 'risky' move hasn't paid off four months after joining,https://www.thesun.co.uk/sport/32385622/west-ham-niclas-fullkrug-transfer/
9,FESTIVE TREAT,"Win a 3 bed lodge, Lambo AND £10k cash or £360k from just £1.61 with our code",https://www.thesun.co.uk/sport/22922880/win-car-competition-7dp/
10,SICKENING BLOW,Donnarumma suffers horror injury from tackle that could have blinded him,https://www.thesun.co.uk/sport/32388661/gianluigi-donnarumma-sickening-injury-paris-saint-germain-monaco/
11,HERE TO STAY,Chelsea and Acheampong finally end contract stand-off as he signs new deal,https://www.thesun.co.uk/sport/32375556/chelsea-josh-acheampong-new-contract-signed/
12,NOT A FAN,Keir vows to BLOCK English clubs joining new European Super League,https://www.thesun.co.uk/sport/32383162/keir-starmer-english-clubs-super-league/
13,WALK THE LINE,Gary Lineker's final BBC appearance confirmed as he prepares to step down,https://www.thesun.co.uk/sport/32386783/gary-lineker-leave-bbc-match-of-the-day-replacement/
14,DROP KICK,Football club chairman sacks entire team and coach in bonkers bid to beat drop,https://www.thesun.co.uk/sport/32380917/football-club-chairman-sacks-entire-team-coach-avoid-relegation/
15,WELCOME,talkSPORT BET bonus: Sign up and get up to £40 in free bets to spend on football,https://www.thesun.co.uk/sport/27779571/talksport-bet-welcome-bonus-register-free-offer-sign-up/
16,TOTELY GREAT,Get £40 welcome bonus when you stake £10 on football with Tote,https://www.thesun.co.uk/sport/28173646/tote-welcome-bonus-free-bets-offer-promo-code/
17,MEGA MGM,Welcome bonus: Get £40 in free bets when you stake £10 on football with BetMGM,https://www.thesun.co.uk/sport/28311103/betmgm-free-bets-football-bonus-offer/
18,BELL OF THE BALL,Bellingham wins yet another trophy as Real Madrid win new tournament,https://www.thesun.co.uk/sport/32386658/jude-bellingham-real-madrid-trophy-intercontinental-cup/
19,MOR TO COME,Amorim responds to Rashford transfer bombshell and says Man Utd 'need him',https://www.thesun.co.uk/sport/32373028/marcus-rashford-man-utd-transfer-ruben-amorim-reacts/
20,LIONS CLUB,Aston Villa to build Premier League's largest beer hall in stadium regeneration,https://www.thesun.co.uk/sport/32380280/aston-villa-largest-beer-hall-renovation-plans/
21,BARC-ING MAD,"Barcelona won't be in new 105,000-seat stadium on time 'unless miracle occurs'",https://www.thesun.co.uk/sport/32373604/barcelona-return-nou-camp-delayed/
22,GLOU BETCHA,Postecoglou tipped to keep to Tottenham promise ahead of Man Utd clash,https://www.thesun.co.uk/sport/32390195/ange-postecoglou-tottenham-man-utd-carabao-cup/
23,DOUBLE DEAL,Mr Vegas bonus: Get 100% up to £200 on your first deposit PLUS 11 free spins,https://www.thesun.co.uk/betting/31316567/mr-vegas-welcome-bonus-offer-free-spins-deposit/
24,CROWN DUELZ,Duelz Casino: Sign up for a £100 bonus and 100 free spins this November,https://www.thesun.co.uk/betting/31309930/duelz-casino-sign-up-bonus-free-spins/
25,TOP £10,The best online casinos for free spins and bonuses from £10 deposits,https://www.thesun.co.uk/betting/30944508/best-online-casino-free-spins-bonuses-10-deposits/
26,FIVE ALIVE,Five clubs Rashford could join after revelation he 'wants a new challenge',https://www.thesun.co.uk/sport/32368007/five-clubs-marcus-rashford-new-challenge/
27,GARNACH-GO,Garnacho eyed by old club for shock return just days after Manchester derby snub,https://www.thesun.co.uk/sport/32369494/man-utd-transfer-news-ruben-amorim-garnacho-atletico-madrid/
28,NEED MOR,Amorim tells Man Utd stars they're all on trial ahead of January transfer window,https://www.thesun.co.uk/sport/32257295/ruben-amorim-warns-man-utd-players-trail-january-transfer/
29,ESS IS MORE,Leeds to go back in for Sporting starlet Dario Essugo to boost promotion bid,https://www.thesun.co.uk/sport/32312220/leeds-transfer-dario-essugo-sporting/
30,CHALLENGE ACCEPTED,Spanish press convinced Rashford has dropped major hint over next club,https://www.thesun.co.uk/sport/32375871/rashford-barcelona-transfer-yamal-amorim/
31,IMPORTANT,Clarification on Dream Team schedule over festive period plus Gameweek deadlines,https://www.thesun.co.uk/sport/football/dream-team/32357350/dream-team-gameweeks-calendar-fixtures-christmas-festive-fantasy/
32,DIFFERENTIAL ALERT,1.3%-owned Enzo Fernandez has racked up 64 points in his last six games,https://www.thesun.co.uk/sport/football/dream-team/32247279/enzo-fernandez-fantasy-football-form-price-fixtures-chelsea/
33,QUIDS IN,"7 ways to win with Dream Team this season - huge jackpot, weekly wins, and more!",https://www.thesun.co.uk/sport/football/dream-team/29884801/fantasy-football-prizes-score-predictor-last-man-standing/
34,UNITED FRONT,Prem clubs keen on Unify League with bosses 'confident Uefa WILL accept plans',https://www.thesun.co.uk/sport/32372988/premier-league-clubs-keen-unify-league-uefa-accept-plans/
35,COMPLAINING CITY,Man City 'lodge complaint with BBC' after never-before-seen move,https://www.thesun.co.uk/sport/32367071/manchester-city-bbc-complaint-manchester-derby/
36,HOT ROD,Rodri back running after ACL surgery as City hope he could play in Prem THIS SEASON,https://www.thesun.co.uk/sport/32308606/rodri-running-acl-injury-return/
37,TAKING THE MIK,Piers Morgan left baffled by Arteta's 'embarrassing' trophy claim,https://www.thesun.co.uk/sport/32364524/arsenal-news-mikel-arteta-trophies-piers-morgan/
38,JULEN PAIN,Julen Lopetegui's dad Jose dies as West Ham boss returns to Spain for funeral,https://www.thesun.co.uk/sport/32382690/julen-lopetegui-dad-jose-dies-west-ham-spain-funeral/
39,DAVE KIDD,FA disappeared down a rabbit hole with double standards over rainbow armband,https://www.thesun.co.uk/sport/32107819/fa-sam-morsy-marc-guehi-rainbow-armband-lgbtq/
40,KARREN BRADY,Government plans will backfire… damaging the Prem is in NOBODY’S interest,https://www.thesun.co.uk/sport/32302289/karren-brady-government-premier-league-regulator-football/
41,HARRY REDKNAPP,"Lee Carsley was FA's first choice to be England manager, not Thomas Tuchel",https://www.thesun.co.uk/sport/31761645/lee-carsley-england-thomas-tuchel-harry-redknapp/
